id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
5138122,"亦庄经济技术开发区温馨3居,空俩居,视野开阔不雾霾的时候非常美的!",26566650,Sophie,39.76242,116.54324,Private room,127,1,0
5149320,位于双井地铁口的超大次卧,26623685,溯,39.89575,116.46264,Private room,248,1,364
5257726,三元桥凤凰城高档小区鸟瞰CBD-30平米大客厅-2个全新卫生间-24小时热水-15分钟机场,15042345,Yvonne,39.96165,116.45274,Entire home/apt,799,4,71
5257727,Modern studio in CBD embassy area,15042345,Yvonne,39.96032,116.45277,Entire home/apt,718,360,0
5262411,国贸CBD百子湾东南亚随心公寓,27240167,HoneyCherry,39.89958,116.47443,Entire home/apt,356,1,355
5281548,"直达天安门､南锣鼓巷､三里屯､北海､景山公园,欧洲风格 地铁6号线草房站 LOFT 限时特惠",27343689,中,39.92765,116.61552,Private room,215,1,91
5313865,Zhoa-Spacious studio near subway,15855533,Zhoa,39.9383,116.43682,Entire home/apt,416,1,106
5320059,BrownRoom - AsianStyleBoutique,27562598,Frank,39.98872,116.48429,Entire home/apt,530,1,0
5354823,2br Summer Sublet central urban apt,27757267,Michael,39.89556,116.46641,Entire home/apt,1007,30,363
5433892,Cozy room with private full bath,28187874,Bryan,39.91898,116.51828,Private room,302,1,365
5473522,设计师风格三环大房,19076299,Jingjing,39.91927,116.28142,Private room,591,1,0
5491823,Huaxia Sunshine Serviced Apt(D),3488642,Chunyu,39.8997,116.49331,Entire home/apt,389,1,352
5500096,Luxury 4 bedrooms duplex in park avenue,28514966,Lan,39.93436,116.46925,Entire home/apt,2550,1,333
5512411,CBD中的家,26561111,式冬,39.91843,116.45321,Entire home/apt,651,1,364
5513165,两室一厅一卫,28598126,徐小飞,39.8731,116.44696,Entire home/apt,698,1,180
5517546,Stylish Studio 4' walk to Subway 近国贸/传媒大学/地铁口精装一居,5557443,Jade,39.90886,116.57231,Entire home/apt,336,1,365
5517598,"温馨二居室,逛景便利､生活自在",28616371,兰,39.9835,116.43624,Entire home/apt,503,3,245
5517711,"向阳主卧低价,可日租!海淀北部主卧出租,16号线温阳路站,华为北研所附近,到西北旺软件园仅20分钟",28616565,Bob,40.05692,116.16553,Private room,141,1,0
5539207,三面朝南两室一厅,28598126,徐小飞,39.87877,116.44901,Entire home/apt,637,1,180
5542795,东三环双井公寓,27183851,Zhenzheng,39.90055,116.45129,Private room,208,1,364
5571880,一楼温馨客房,15362430,Miss,39.96675,116.32758,Private room,503,1,365
5572523,Invisble Room不用你带无聊生活用品只要你享受旅行的房间,28892323,Cho,39.91833,116.51759,Private room,87,1,0
5573471,紧邻北京南站､楼下地铁站(二号房),28897187,小宝,39.85104,116.37037,Private room,168,1,136
5577084,2 BR Family Suite Metro 通州北苑,28727732,Bo,39.90377,116.62922,Entire home/apt,470,3,159
5594254,紧邻北京南站､楼下地铁站(三号房),28897187,小宝,39.85234,116.36961,Private room,161,1,156
5608398,光熙家园七分钟地铁旁高档社区的阳光温馨浪漫民宿,28278548,泉,39.96309,116.43309,Entire home/apt,382,2,356
5611781,北京怀柔山里的度假别墅----寄畅居1号,29090596,Meizi,40.53814,116.65538,Entire home/apt,1798,1,257
5622017,Beijing Downtown Houhai Hutong Cozy Bungalow House,15072791,Joyce,39.94778,116.38407,Entire home/apt,201,3,356
5631410,北京房山CSD奥特莱斯精致loft公寓,29185435,梅,39.7655,116.18162,Entire home/apt,235,1,351
5644182,1 bad loft room east 3rd ring 10号线3分钟即达潘家园站,29253260,Amy,39.87195,116.46839,Private room,201,1,364
5654076,高级复式公寓  好友小聚 休闲度假 全家出游,29304772,庆,40.10252,116.40613,Entire home/apt,1597,1,346
5665038,Cozy appartment near to Beijing airport,29368554,Zhijie,40.03157,116.66889,Private room,174,1,365
5687029, LOFT  space 300mq Near 798 !,27439769,Milan,39.9858,116.51353,Entire home/apt,3000,1,364
5709715,"(北影,中关村,北医三院,鸟巢,安贞)十号线牡丹园地铁温馨三居(长租优惠)",29605408,Maggie,39.97483,116.36692,Entire home/apt,637,1,365
